course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,course_text
Python for Beginners | Emma Harris | Beginner,Python for Beginners,Emma Harris,Beginner,Yes,Yes,39.1,317.5,0.797,21600,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.1 hours, Price: 317.5, Feedback Score: 0.797"
Game Development with Unity | Olivia Taylor | Intermediate,Game Development with Unity,Olivia Taylor,Intermediate,Yes,Yes,34.6,51.22,0.817,49950,"Course: Game Development with Unity, Instructor: Olivia Taylor, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 34.6 hours, Price: 51.22, Feedback Score: 0.817"
Photography and Video Editing | Ethan Hall | Beginner,Photography and Video Editing,Ethan Hall,Beginner,Yes,No,92.3,421.69,0.934,11809,"Course: Photography and Video Editing, Instructor: Ethan Hall, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 92.3 hours, Price: 421.69, Feedback Score: 0.934"
Cloud Computing Essentials | Prof. Emily Johnson | Intermediate,Cloud Computing Essentials,Prof. Emily Johnson,Intermediate,No,Yes,79.4,300.51,0.657,2293,"Course: Cloud Computing Essentials, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 79.4 hours, Price: 300.51, Feedback Score: 0.657"
Blockchain and Decentralized Applications | Emma Harris | Intermediate,Blockchain and Decentralized Applications,Emma Harris,Intermediate,Yes,Yes,98.4,475.84,0.794,12512,"Course: Blockchain and Decentralized Applications, Instructor: Emma Harris, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 98.4 hours, Price: 475.84, Feedback Score: 0.794"
Game Development with Unity | Jessica Martinez | Advanced,Game Development with Unity,Jessica Martinez,Advanced,Yes,Yes,9.5,433.36,1.0,22250,"Course: Game Development with Unity, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 9.5 hours, Price: 433.36, Feedback Score: 1.0"
Blockchain and Decentralized Applications | Sophia Anderson | Intermediate,Blockchain and Decentralized Applications,Sophia Anderson,Intermediate,Yes,Yes,95.5,122.16,0.85,4786,"Course: Blockchain and Decentralized Applications, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 95.5 hours, Price: 122.16, Feedback Score: 0.85"
Cloud Computing Essentials | David Wilson | Beginner,Cloud Computing Essentials,David Wilson,Beginner,No,Yes,83.5,361.28,0.758,27604,"Course: Cloud Computing Essentials, Instructor: David Wilson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 83.5 hours, Price: 361.28, Feedback Score: 0.758"
Project Management Fundamentals | Dr. Mia Walker | Intermediate,Project Management Fundamentals,Dr. Mia Walker,Intermediate,Yes,Yes,12.9,287.98,0.215,17989,"Course: Project Management Fundamentals, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 12.9 hours, Price: 287.98, Feedback Score: 0.215"
Data Visualization with Tableau | Michael Brown | Beginner,Data Visualization with Tableau,Michael Brown,Beginner,Yes,Yes,14.7,207.86,0.962,5827,"Course: Data Visualization with Tableau, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 14.7 hours, Price: 207.86, Feedback Score: 0.962"
Cloud Computing Essentials | Ethan Hall | Intermediate,Cloud Computing Essentials,Ethan Hall,Intermediate,Yes,No,44.7,153.51,0.751,4050,"Course: Cloud Computing Essentials, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 44.7 hours, Price: 153.51, Feedback Score: 0.751"
Fitness and Nutrition Coaching | Sophia Anderson | Beginner,Fitness and Nutrition Coaching,Sophia Anderson,Beginner,Yes,Yes,34.4,169.82,0.88,44688,"Course: Fitness and Nutrition Coaching, Instructor: Sophia Anderson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 34.4 hours, Price: 169.82, Feedback Score: 0.88"
Fundamentals of Digital Marketing | Sarah Lee | Advanced,Fundamentals of Digital Marketing,Sarah Lee,Advanced,Yes,Yes,89.0,191.5,0.766,16116,"Course: Fundamentals of Digital Marketing, Instructor: Sarah Lee, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 89.0 hours, Price: 191.5, Feedback Score: 0.766"
Fundamentals of Digital Marketing | Dr. Robert Davis | Intermediate,Fundamentals of Digital Marketing,Dr. Robert Davis,Intermediate,Yes,Yes,37.9,211.42,0.829,6392,"Course: Fundamentals of Digital Marketing, Instructor: Dr. Robert Davis, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 37.9 hours, Price: 211.42, Feedback Score: 0.829"
Fitness and Nutrition Coaching | Liam Adams | Beginner,Fitness and Nutrition Coaching,Liam Adams,Beginner,Yes,Yes,94.1,130.51,0.635,49149,"Course: Fitness and Nutrition Coaching, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 94.1 hours, Price: 130.51, Feedback Score: 0.635"
Advanced Machine Learning | William Thomas | Advanced,Advanced Machine Learning,William Thomas,Advanced,Yes,Yes,75.4,322.23,0.88,9205,"Course: Advanced Machine Learning, Instructor: William Thomas, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 75.4 hours, Price: 322.23, Feedback Score: 0.88"
Personal Finance and Wealth Building | Alexander Young | Beginner,Personal Finance and Wealth Building,Alexander Young,Beginner,Yes,Yes,29.3,251.04,0.864,2575,"Course: Personal Finance and Wealth Building, Instructor: Alexander Young, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 29.3 hours, Price: 251.04, Feedback Score: 0.864"
Networking and System Administration | Olivia Taylor | Advanced,Networking and System Administration,Olivia Taylor,Advanced,Yes,Yes,82.9,28.23,0.772,39081,"Course: Networking and System Administration, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 82.9 hours, Price: 28.23, Feedback Score: 0.772"
AI for Business Leaders | William Thomas | Beginner,AI for Business Leaders,William Thomas,Beginner,Yes,Yes,18.9,123.04,0.774,30808,"Course: AI for Business Leaders, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 18.9 hours, Price: 123.04, Feedback Score: 0.774"
Cloud Computing Essentials | James Clark | Advanced,Cloud Computing Essentials,James Clark,Advanced,No,Yes,49.5,260.8,0.797,18353,"Course: Cloud Computing Essentials, Instructor: James Clark, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 49.5 hours, Price: 260.8, Feedback Score: 0.797"
Python for Beginners | Sophia Anderson | Beginner,Python for Beginners,Sophia Anderson,Beginner,Yes,Yes,96.6,292.35,0.846,30163,"Course: Python for Beginners, Instructor: Sophia Anderson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 96.6 hours, Price: 292.35, Feedback Score: 0.846"
Graphic Design with Canva | Prof. Emily Johnson | Intermediate,Graphic Design with Canva,Prof. Emily Johnson,Intermediate,Yes,No,86.3,399.89,0.663,21896,"Course: Graphic Design with Canva, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 86.3 hours, Price: 399.89, Feedback Score: 0.663"
Public Speaking Mastery | Isabella Scott | Beginner,Public Speaking Mastery,Isabella Scott,Beginner,Yes,Yes,92.1,410.34,0.874,34056,"Course: Public Speaking Mastery, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 92.1 hours, Price: 410.34, Feedback Score: 0.874"
Networking and System Administration | Liam Adams | Beginner,Networking and System Administration,Liam Adams,Beginner,No,Yes,57.3,350.39,0.973,2454,"Course: Networking and System Administration, Instructor: Liam Adams, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 57.3 hours, Price: 350.39, Feedback Score: 0.973"
Ethical Hacking Masterclass | Benjamin Lewis | Beginner,Ethical Hacking Masterclass,Benjamin Lewis,Beginner,Yes,Yes,6.7,336.43,0.673,26813,"Course: Ethical Hacking Masterclass, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 6.7 hours, Price: 336.43, Feedback Score: 0.673"
Cloud Computing Essentials | Jessica Martinez | Intermediate,Cloud Computing Essentials,Jessica Martinez,Intermediate,Yes,Yes,26.3,249.85,0.822,13605,"Course: Cloud Computing Essentials, Instructor: Jessica Martinez, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 26.3 hours, Price: 249.85, Feedback Score: 0.822"
Stock Market and Trading Strategies | Benjamin Lewis | Intermediate,Stock Market and Trading Strategies,Benjamin Lewis,Intermediate,Yes,Yes,50.4,358.52,0.495,36183,"Course: Stock Market and Trading Strategies, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 50.4 hours, Price: 358.52, Feedback Score: 0.495"
Ethical Hacking Masterclass | Michael Brown | Advanced,Ethical Hacking Masterclass,Michael Brown,Advanced,Yes,Yes,80.5,57.21,0.467,46252,"Course: Ethical Hacking Masterclass, Instructor: Michael Brown, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 80.5 hours, Price: 57.21, Feedback Score: 0.467"
Personal Finance and Wealth Building | Emma Harris | Advanced,Personal Finance and Wealth Building,Emma Harris,Advanced,No,Yes,49.3,479.86,0.724,46231,"Course: Personal Finance and Wealth Building, Instructor: Emma Harris, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 49.3 hours, Price: 479.86, Feedback Score: 0.724"
Fundamentals of Digital Marketing | David Wilson | Intermediate,Fundamentals of Digital Marketing,David Wilson,Intermediate,Yes,No,94.3,478.91,0.744,8123,"Course: Fundamentals of Digital Marketing, Instructor: David Wilson, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 94.3 hours, Price: 478.91, Feedback Score: 0.744"
Project Management Fundamentals | Liam Adams | Advanced,Project Management Fundamentals,Liam Adams,Advanced,Yes,Yes,38.2,162.81,0.792,14902,"Course: Project Management Fundamentals, Instructor: Liam Adams, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 38.2 hours, Price: 162.81, Feedback Score: 0.792"
Stock Market and Trading Strategies | Liam Adams | Beginner,Stock Market and Trading Strategies,Liam Adams,Beginner,Yes,Yes,55.9,310.88,0.887,7305,"Course: Stock Market and Trading Strategies, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 55.9 hours, Price: 310.88, Feedback Score: 0.887"
Stock Market and Trading Strategies | Olivia Taylor | Advanced,Stock Market and Trading Strategies,Olivia Taylor,Advanced,Yes,Yes,91.9,269.44,0.941,41894,"Course: Stock Market and Trading Strategies, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 91.9 hours, Price: 269.44, Feedback Score: 0.941"
Cybersecurity for Professionals | Daniel White | Advanced,Cybersecurity for Professionals,Daniel White,Advanced,Yes,No,60.4,40.44,0.937,35160,"Course: Cybersecurity for Professionals, Instructor: Daniel White, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 60.4 hours, Price: 40.44, Feedback Score: 0.937"
Photography and Video Editing | Sophia Anderson | Advanced,Photography and Video Editing,Sophia Anderson,Advanced,No,Yes,60.3,483.29,0.734,47215,"Course: Photography and Video Editing, Instructor: Sophia Anderson, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 60.3 hours, Price: 483.29, Feedback Score: 0.734"
Mobile App Development with Swift | Benjamin Lewis | Beginner,Mobile App Development with Swift,Benjamin Lewis,Beginner,Yes,Yes,7.3,96.52,0.511,49505,"Course: Mobile App Development with Swift, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 7.3 hours, Price: 96.52, Feedback Score: 0.511"
Fundamentals of Digital Marketing | Jessica Martinez | Beginner,Fundamentals of Digital Marketing,Jessica Martinez,Beginner,Yes,No,33.6,304.59,0.633,8794,"Course: Fundamentals of Digital Marketing, Instructor: Jessica Martinez, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 33.6 hours, Price: 304.59, Feedback Score: 0.633"
Project Management Fundamentals | Liam Adams | Beginner,Project Management Fundamentals,Liam Adams,Beginner,No,Yes,71.2,334.57,0.746,38900,"Course: Project Management Fundamentals, Instructor: Liam Adams, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 71.2 hours, Price: 334.57, Feedback Score: 0.746"
Graphic Design with Canva | Dr. Robert Davis | Advanced,Graphic Design with Canva,Dr. Robert Davis,Advanced,Yes,Yes,73.6,78.29,0.705,3561,"Course: Graphic Design with Canva, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 73.6 hours, Price: 78.29, Feedback Score: 0.705"
Game Development with Unity | Benjamin Lewis | Advanced,Game Development with Unity,Benjamin Lewis,Advanced,Yes,Yes,15.2,84.51,0.687,30465,"Course: Game Development with Unity, Instructor: Benjamin Lewis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 15.2 hours, Price: 84.51, Feedback Score: 0.687"
Mobile App Development with Swift | Sarah Lee | Beginner,Mobile App Development with Swift,Sarah Lee,Beginner,No,Yes,44.2,108.89,0.724,14413,"Course: Mobile App Development with Swift, Instructor: Sarah Lee, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 44.2 hours, Price: 108.89, Feedback Score: 0.724"
AI for Business Leaders | Prof. Emily Johnson | Intermediate,AI for Business Leaders,Prof. Emily Johnson,Intermediate,Yes,Yes,68.6,333.23,0.636,41114,"Course: AI for Business Leaders, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 68.6 hours, Price: 333.23, Feedback Score: 0.636"
Project Management Fundamentals | David Wilson | Beginner,Project Management Fundamentals,David Wilson,Beginner,Yes,Yes,51.3,257.27,0.914,1885,"Course: Project Management Fundamentals, Instructor: David Wilson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 51.3 hours, Price: 257.27, Feedback Score: 0.914"
DevOps and Continuous Deployment | Prof. Emily Johnson | Beginner,DevOps and Continuous Deployment,Prof. Emily Johnson,Beginner,Yes,Yes,45.5,187.98,0.672,41078,"Course: DevOps and Continuous Deployment, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 45.5 hours, Price: 187.98, Feedback Score: 0.672"
Personal Finance and Wealth Building | Dr. John Smith | Beginner,Personal Finance and Wealth Building,Dr. John Smith,Beginner,Yes,Yes,42.4,73.21,0.661,12830,"Course: Personal Finance and Wealth Building, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 42.4 hours, Price: 73.21, Feedback Score: 0.661"
Python for Beginners | Charlotte King | Intermediate,Python for Beginners,Charlotte King,Intermediate,Yes,Yes,6.8,483.72,0.535,20461,"Course: Python for Beginners, Instructor: Charlotte King, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 6.8 hours, Price: 483.72, Feedback Score: 0.535"
Project Management Fundamentals | Olivia Taylor | Beginner,Project Management Fundamentals,Olivia Taylor,Beginner,Yes,No,23.2,394.55,0.718,30501,"Course: Project Management Fundamentals, Instructor: Olivia Taylor, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 23.2 hours, Price: 394.55, Feedback Score: 0.718"
Ethical Hacking Masterclass | Dr. John Smith | Beginner,Ethical Hacking Masterclass,Dr. John Smith,Beginner,Yes,No,89.0,88.93,0.735,3262,"Course: Ethical Hacking Masterclass, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 89.0 hours, Price: 88.93, Feedback Score: 0.735"
Personal Finance and Wealth Building | Jessica Martinez | Beginner,Personal Finance and Wealth Building,Jessica Martinez,Beginner,Yes,Yes,5.5,245.66,0.887,44691,"Course: Personal Finance and Wealth Building, Instructor: Jessica Martinez, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 5.5 hours, Price: 245.66, Feedback Score: 0.887"
Photography and Video Editing | Liam Adams | Intermediate,Photography and Video Editing,Liam Adams,Intermediate,Yes,Yes,55.0,317.78,0.683,18662,"Course: Photography and Video Editing, Instructor: Liam Adams, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 55.0 hours, Price: 317.78, Feedback Score: 0.683"
Networking and System Administration | Benjamin Lewis | Advanced,Networking and System Administration,Benjamin Lewis,Advanced,Yes,No,58.6,407.86,0.604,28457,"Course: Networking and System Administration, Instructor: Benjamin Lewis, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 58.6 hours, Price: 407.86, Feedback Score: 0.604"
Ethical Hacking Masterclass | Emma Harris | Intermediate,Ethical Hacking Masterclass,Emma Harris,Intermediate,No,Yes,41.9,118.35,0.681,12679,"Course: Ethical Hacking Masterclass, Instructor: Emma Harris, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 41.9 hours, Price: 118.35, Feedback Score: 0.681"
DevOps and Continuous Deployment | Ethan Hall | Intermediate,DevOps and Continuous Deployment,Ethan Hall,Intermediate,Yes,Yes,8.1,25.87,0.659,10330,"Course: DevOps and Continuous Deployment, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 8.1 hours, Price: 25.87, Feedback Score: 0.659"
Python for Beginners | Ethan Hall | Intermediate,Python for Beginners,Ethan Hall,Intermediate,No,Yes,92.5,449.17,0.963,21747,"Course: Python for Beginners, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 92.5 hours, Price: 449.17, Feedback Score: 0.963"
Cybersecurity for Professionals | Isabella Scott | Beginner,Cybersecurity for Professionals,Isabella Scott,Beginner,Yes,Yes,54.0,408.76,1.0,21100,"Course: Cybersecurity for Professionals, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 54.0 hours, Price: 408.76, Feedback Score: 1.0"
Game Development with Unity | Sarah Lee | Beginner,Game Development with Unity,Sarah Lee,Beginner,Yes,Yes,69.5,389.89,1.0,34286,"Course: Game Development with Unity, Instructor: Sarah Lee, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 69.5 hours, Price: 389.89, Feedback Score: 1.0"
Stock Market and Trading Strategies | Ethan Hall | Intermediate,Stock Market and Trading Strategies,Ethan Hall,Intermediate,Yes,Yes,12.2,48.12,0.586,45029,"Course: Stock Market and Trading Strategies, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 12.2 hours, Price: 48.12, Feedback Score: 0.586"
Cloud Computing Essentials | Daniel White | Intermediate,Cloud Computing Essentials,Daniel White,Intermediate,Yes,No,74.5,353.41,0.84,36857,"Course: Cloud Computing Essentials, Instructor: Daniel White, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 74.5 hours, Price: 353.41, Feedback Score: 0.84"
Networking and System Administration | Dr. Robert Davis | Intermediate,Networking and System Administration,Dr. Robert Davis,Intermediate,No,No,83.0,223.98,0.786,13318,"Course: Networking and System Administration, Instructor: Dr. Robert Davis, Difficulty: Intermediate, Certification: No, Study Material: No, Duration: 83.0 hours, Price: 223.98, Feedback Score: 0.786"
Advanced Machine Learning | Michael Brown | Beginner,Advanced Machine Learning,Michael Brown,Beginner,Yes,Yes,75.8,38.53,0.604,46540,"Course: Advanced Machine Learning, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 75.8 hours, Price: 38.53, Feedback Score: 0.604"
Graphic Design with Canva | Dr. Robert Davis | Intermediate,Graphic Design with Canva,Dr. Robert Davis,Intermediate,No,No,33.7,254.41,0.868,20498,"Course: Graphic Design with Canva, Instructor: Dr. Robert Davis, Difficulty: Intermediate, Certification: No, Study Material: No, Duration: 33.7 hours, Price: 254.41, Feedback Score: 0.868"
DevOps and Continuous Deployment | Charlotte King | Advanced,DevOps and Continuous Deployment,Charlotte King,Advanced,No,Yes,74.5,197.9,0.571,13229,"Course: DevOps and Continuous Deployment, Instructor: Charlotte King, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 74.5 hours, Price: 197.9, Feedback Score: 0.571"
Fitness and Nutrition Coaching | Ethan Hall | Beginner,Fitness and Nutrition Coaching,Ethan Hall,Beginner,Yes,No,58.3,419.32,0.719,8226,"Course: Fitness and Nutrition Coaching, Instructor: Ethan Hall, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 58.3 hours, Price: 419.32, Feedback Score: 0.719"
Mobile App Development with Swift | Olivia Taylor | Advanced,Mobile App Development with Swift,Olivia Taylor,Advanced,Yes,Yes,46.8,398.38,0.59,5658,"Course: Mobile App Development with Swift, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 46.8 hours, Price: 398.38, Feedback Score: 0.59"
Photography and Video Editing | Dr. John Smith | Beginner,Photography and Video Editing,Dr. John Smith,Beginner,Yes,Yes,41.6,272.8,0.704,10580,"Course: Photography and Video Editing, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 41.6 hours, Price: 272.8, Feedback Score: 0.704"
Graphic Design with Canva | Dr. John Smith | Advanced,Graphic Design with Canva,Dr. John Smith,Advanced,Yes,Yes,53.4,133.17,0.721,17448,"Course: Graphic Design with Canva, Instructor: Dr. John Smith, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 53.4 hours, Price: 133.17, Feedback Score: 0.721"
Stock Market and Trading Strategies | Daniel White | Beginner,Stock Market and Trading Strategies,Daniel White,Beginner,Yes,Yes,84.6,117.08,0.806,31568,"Course: Stock Market and Trading Strategies, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 84.6 hours, Price: 117.08, Feedback Score: 0.806"
Fundamentals of Digital Marketing | Jessica Martinez | Advanced,Fundamentals of Digital Marketing,Jessica Martinez,Advanced,No,Yes,66.3,167.27,0.616,39695,"Course: Fundamentals of Digital Marketing, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 66.3 hours, Price: 167.27, Feedback Score: 0.616"
Ethical Hacking Masterclass | Dr. Mia Walker | Intermediate,Ethical Hacking Masterclass,Dr. Mia Walker,Intermediate,Yes,Yes,42.7,120.17,0.845,6858,"Course: Ethical Hacking Masterclass, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 42.7 hours, Price: 120.17, Feedback Score: 0.845"
Public Speaking Mastery | Emma Harris | Beginner,Public Speaking Mastery,Emma Harris,Beginner,No,Yes,31.9,227.9,0.819,285,"Course: Public Speaking Mastery, Instructor: Emma Harris, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 31.9 hours, Price: 227.9, Feedback Score: 0.819"
Cybersecurity for Professionals | Liam Adams | Beginner,Cybersecurity for Professionals,Liam Adams,Beginner,Yes,No,44.5,350.29,1.0,48715,"Course: Cybersecurity for Professionals, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 44.5 hours, Price: 350.29, Feedback Score: 1.0"
Public Speaking Mastery | Daniel White | Beginner,Public Speaking Mastery,Daniel White,Beginner,Yes,No,54.4,97.41,0.896,28151,"Course: Public Speaking Mastery, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 54.4 hours, Price: 97.41, Feedback Score: 0.896"
Fundamentals of Digital Marketing | Ethan Hall | Beginner,Fundamentals of Digital Marketing,Ethan Hall,Beginner,No,Yes,49.8,235.03,0.793,9035,"Course: Fundamentals of Digital Marketing, Instructor: Ethan Hall, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 49.8 hours, Price: 235.03, Feedback Score: 0.793"
Cybersecurity for Professionals | Prof. Emily Johnson | Beginner,Cybersecurity for Professionals,Prof. Emily Johnson,Beginner,Yes,Yes,72.6,176.79,0.717,9254,"Course: Cybersecurity for Professionals, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 72.6 hours, Price: 176.79, Feedback Score: 0.717"
DevOps and Continuous Deployment | Dr. Robert Davis | Beginner,DevOps and Continuous Deployment,Dr. Robert Davis,Beginner,Yes,Yes,77.5,248.52,0.774,10768,"Course: DevOps and Continuous Deployment, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 77.5 hours, Price: 248.52, Feedback Score: 0.774"
Project Management Fundamentals | Liam Adams | Intermediate,Project Management Fundamentals,Liam Adams,Intermediate,Yes,Yes,5.1,296.05,0.828,41942,"Course: Project Management Fundamentals, Instructor: Liam Adams, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 5.1 hours, Price: 296.05, Feedback Score: 0.828"
Python for Beginners | Dr. Mia Walker | Advanced,Python for Beginners,Dr. Mia Walker,Advanced,No,Yes,91.1,350.93,0.745,14823,"Course: Python for Beginners, Instructor: Dr. Mia Walker, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 91.1 hours, Price: 350.93, Feedback Score: 0.745"
Networking and System Administration | Sophia Anderson | Intermediate,Networking and System Administration,Sophia Anderson,Intermediate,Yes,Yes,9.5,258.42,0.5,1021,"Course: Networking and System Administration, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 9.5 hours, Price: 258.42, Feedback Score: 0.5"
Personal Finance and Wealth Building | Ethan Hall | Beginner,Personal Finance and Wealth Building,Ethan Hall,Beginner,Yes,No,41.9,226.13,0.974,42573,"Course: Personal Finance and Wealth Building, Instructor: Ethan Hall, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 41.9 hours, Price: 226.13, Feedback Score: 0.974"
Game Development with Unity | James Clark | Beginner,Game Development with Unity,James Clark,Beginner,Yes,Yes,31.1,282.47,0.645,13001,"Course: Game Development with Unity, Instructor: James Clark, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 31.1 hours, Price: 282.47, Feedback Score: 0.645"
Cloud Computing Essentials | Olivia Taylor | Beginner,Cloud Computing Essentials,Olivia Taylor,Beginner,No,Yes,63.4,389.44,0.669,46818,"Course: Cloud Computing Essentials, Instructor: Olivia Taylor, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 63.4 hours, Price: 389.44, Feedback Score: 0.669"
DevOps and Continuous Deployment | Dr. John Smith | Intermediate,DevOps and Continuous Deployment,Dr. John Smith,Intermediate,No,Yes,33.0,364.63,0.728,4837,"Course: DevOps and Continuous Deployment, Instructor: Dr. John Smith, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 33.0 hours, Price: 364.63, Feedback Score: 0.728"
Ethical Hacking Masterclass | Sarah Lee | Beginner,Ethical Hacking Masterclass,Sarah Lee,Beginner,Yes,Yes,92.6,329.45,0.983,32445,"Course: Ethical Hacking Masterclass, Instructor: Sarah Lee, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 92.6 hours, Price: 329.45, Feedback Score: 0.983"
Blockchain and Decentralized Applications | David Wilson | Beginner,Blockchain and Decentralized Applications,David Wilson,Beginner,No,Yes,82.7,45.98,0.776,12929,"Course: Blockchain and Decentralized Applications, Instructor: David Wilson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 82.7 hours, Price: 45.98, Feedback Score: 0.776"
Fundamentals of Digital Marketing | James Clark | Intermediate,Fundamentals of Digital Marketing,James Clark,Intermediate,Yes,Yes,80.2,123.75,0.862,12186,"Course: Fundamentals of Digital Marketing, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 80.2 hours, Price: 123.75, Feedback Score: 0.862"
